日期	类型	数量
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/16	产品C	1388
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/17	产品A	1269
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/17	产品B	1336
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/17	产品C	1315
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/18	产品A	1397
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/18	产品B	1264
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/19	产品B	1243
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬	产品A	1318
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬	产品B	1232
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬	产品C	1332
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/21	产品A	1308
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/21	产品B	1399
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/21	产品C	1329
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/22	产品A	1588
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/22	产品B	1264
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/22	产品C	1307
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/23	产品A	1291
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/23	产品C	1303
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/24	产品A	1402
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/24	产品B	1263
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/24	产品C	1359
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/25	产品A	1516
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/25	产品B	1360
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/26	产品A	1366
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/26	产品B	1382
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/26	产品C	1300
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/27	产品A	1352
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/27	产品B	1368
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/27	产品C	1372
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/28	产品A	1268
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/28	产品B	1270
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/28	产品C	1385
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/29	产品A	1529
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/29	产品B	1229
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/29	产品C	1400
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/30	产品B	1229
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/30	产品C	1379
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/31	产品A	1305
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/5/31	产品B	1359
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/1	产品A	1371
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/1	产品B	1446
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/2	产品A	1570
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/2	产品B	1384
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/2	产品C	1280
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/3	产品A	1215
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/3	产品B	1321
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/3	产品C	1335
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/4	产品A	1221
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/4	产品B	1471
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/4	产品C	1302
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/5	产品A	1422
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/5	产品B	1336
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/5	产品C	1267
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/6	产品A	1568
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/6	产品B	1402
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/6	产品C	1250
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/7	产品A	1375
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/7	产品B	1479
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/7	产品C	1281
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/8	产品A	1287
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/8	产品B	1376
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/8	产品C	1283
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/9	产品B	1310
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/9	产品C	1270
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/10	产品A	1273
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/10	产品B	1300
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/10	产品C	1304
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/11	产品A	1221
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/11	产品B	1476
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/12	产品A	1412
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/12	产品B	1367
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/12	产品C	1255
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/13	产品A	15[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/14	产品A	1239
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/14	产品B	1442
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/15	产品A	1423
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/15	产品B	1367
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/15	产品C	1278
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/16	产品A	1584
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/16	产品B	1347
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/16	产品C	1285
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/17	产品A	1596
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/17	产品B	1446
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/17	产品C	1251
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/18	产品A	1251
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/18	产品C	1327
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/19	产品C	1341
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬	产品B	1480
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬	产品C	1313
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/21	产品A	12[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/21	产品B	1352
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/21	产品C	1336
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/22	产品B	13[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/22	产品C	13[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/23	产品A	1384
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/23	产品B	1396
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/23	产品C	1273
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/24	产品A	1559
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/24	产品B	1397
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/24	产品C	1311
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/25	产品A	1[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬2
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/25	产品B	1319
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/25	产品C	1297
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/26	产品A	1400
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/26	产品C	1264
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/27	产品A	1555
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/27	产品B	1450
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/27	产品C	1335
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/28	产品A	1583
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/28	产品B	1431
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/28	产品C	1305
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/29	产品A	1424
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/29	产品C	1313
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/30	产品A	1369
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/6/30	产品B	1335
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/1	产品A	1462
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/1	产品B	1498
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/1	产品C	1[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬1
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/2	产品A	1469
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/2	产品C	1261
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/3	产品A	1535
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/3	产品B	1474
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/3	产品C	1232
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/4	产品B	1449
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/4	产品C	1262
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/5	产品A	1483
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/5	产品C	1239
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/6	产品A	1546
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/6	产品B	1458
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/6	产品C	1228
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/7	产品A	1264
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/7	产品B	14[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/7	产品C	1219
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/8	产品A	1502
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/8	产品B	1415
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/9	产品A	1517
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/10	产品A	1252
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/10	产品B	1583
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/10	产品C	1224
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/11	产品A	1385
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/11	产品C	12[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/12	产品A	1325
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/12	产品C	1270
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/13	产品A	1417
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/13	产品B	1429
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/13	产品C	1297
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/14	产品B	1599
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/14	产品C	1265
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/15	产品B	1554
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/15	产品C	1266
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/16	产品A	1553
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/16	产品B	1551
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/16	产品C	1231
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/17	产品A	1288
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/17	产品B	1581
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/17	产品C	1249
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/18	产品A	1368
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/18	产品B	1550
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/18	产品C	1245
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/19	产品A	1225
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/19	产品B	1411
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/19	产品C	1275
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬	产品A	1510
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬	产品B	1457
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬	产品C	1217
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/21	产品A	1438
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/21	产品B	1493
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/22	产品B	1558
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/23	产品A	1317
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/23	产品B	1409
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/23	产品C	1247
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/24	产品A	1244
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/24	产品B	1578
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/24	产品C	1230
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/25	产品A	1496
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/25	产品B	1503
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/25	产品C	1258
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/26	产品A	1439
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/26	产品C	1250
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/27	产品A	1388
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/27	产品B	1475
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/28	产品B	1487
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/29	产品A	1300
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/29	产品B	1508
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/29	产品C	1260
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/30	产品A	1591
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/30	产品B	1401
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/31	产品B	1553
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/7/31	产品C	1217
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/1	产品A	1322
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/1	产品B	1561
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/2	产品A	1244
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/2	产品B	1695
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/2	产品C	1177
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/3	产品A	1217
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/3	产品B	15[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/4	产品B	1579
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/4	产品C	1215
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/5	产品B	1638
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/6	产品A	1513
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/6	产品C	1167
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/7	产品A	1278
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/7	产品B	1564
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/7	产品C	1228
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/8	产品A	1394
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/8	产品B	1501
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/8	产品C	1210
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/9	产品A	1424
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/9	产品B	1522
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/9	产品C	1192
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/10	产品B	1545
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/10	产品C	1153
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/11	产品A	1453
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/11	产品B	1596
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/11	产品C	1224
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/12	产品A	1409
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/12	产品B	1504
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/13	产品C	1[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬1
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/14	产品A	1589
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/14	产品B	15[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/15	产品A	1365
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/15	产品B	1538
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/15	产品C	1[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬2
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/16	产品A	1275
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/16	产品B	1591
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/17	产品A	1338
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/17	产品B	1560
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/17	产品C	1165
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/18	产品A	1217
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/18	产品B	1676
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/18	产品C	1[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬5
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/19	产品A	1402
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/19	产品B	1648
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/19	产品C	1245
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬	产品A	1500
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬	产品B	1535
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬	产品C	1188
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/21	产品A	1510
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/22	产品A	1355
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/22	产品B	1529
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/22	产品C	1[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬1
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/23	产品A	1331
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/23	产品B	1630
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/23	产品C	1170
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/24	产品A	1397
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/24	产品B	1562
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/24	产品C	1212
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/25	产品C	1189
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/26	产品A	1[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬9
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/26	产品C	1183
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/27	产品A	1387
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/27	产品B	1573
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/27	产品C	1221
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/28	产品A	1530
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/28	产品B	1508
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/29	产品A	1256
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/29	产品B	1612
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/29	产品C	1197
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/30	产品A	1382
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/30	产品B	1647
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/30	产品C	1182
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/31	产品A	1519
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/8/31	产品B	1677
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/1	产品A	1589
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/1	产品B	1636
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/1	产品C	1118
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/2	产品A	1480
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/2	产品B	1758
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/2	产品C	1183
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/3	产品A	1382
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/3	产品B	1686
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/3	产品C	1129
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/4	产品A	1225
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/4	产品B	1718
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/4	产品C	1171
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/5	产品A	1367
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/5	产品B	1772
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/5	产品C	1194
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/6	产品A	1455
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/6	产品B	16[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/6	产品C	1115
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/7	产品A	1428
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/7	产品B	1612
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/7	产品C	1191
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/8	产品B	1629
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/8	产品C	1102
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/9	产品A	1433
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/9	产品B	1629
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/10	产品A	1398
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/10	产品B	1713
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/10	产品C	1148
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/11	产品A	1366
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/11	产品B	1635
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/11	产品C	1148
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/12	产品A	1586
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/12	产品C	1153
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/13	产品A	1549
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/14	产品A	1432
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/14	产品B	1733
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/15	产品A	1519
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/15	产品B	1677
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/15	产品C	1183
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/16	产品A	1293
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/16	产品B	1615
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/16	产品C	1195
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/17	产品A	1349
[[濮撳悕宸茶劚鏁廬宸茶劚鏁廬12/9/18	产品A	1544
